Billy Ardelle	Broadway Playboy Revue	Club Chatter The Billboard 49, no. 35, August 28, 1937, 16.
Lyle Page	Broadway Playboy Revue	Club Chatter The Billboard 49, no. 37, September 11, 1937, 14

Bobby Grant	Skoller's Swing Land (Chicago)	Club Talent The Billboard 51, no. 35, September 2, 1939, 18	"sepia femme impersonator"
Vern Valdez	Spinning Wheel (Seattle)	Club Talent The Billboard 51, no. 35, September 2, 1939, 18
Eddie La Rue	Spinning Wheel (Seattle)	Club Talent The Billboard 51, no. 35, September 2, 1939, 18
Val Ray	Spinning Wheel (Seattle)	Club Talent The Billboard 51, no. 35, September 2, 1939, 18
Milton LaMaire	Spinning Wheel (Seattle)	Club Talent The Billboard 51, no. 35, September 2, 1939, 18
Francis Blair	Jonas and Francis' Playboy Revue	Club Talent The Billboard 51, no. 35, September 2, 1939, 18
Francis Blair	Playhouse Cabaret (Kansas City)	Club Talent The Billboard 51, no. 35, September 2, 1939, 18
Vern Valdez	Spinning Wheel (Seattle)	C M. Litteljohn, "Night Club Reviews: Spinning Wheel, Seattle," The Billboard 51, no. 24, June 17, 1939, 20
Eddie La Rue	Spinning Wheel (Seattle)	C M. Litteljohn, "Night Club Reviews: Spinning Wheel, Seattle," The Billboard 51, no. 24, June 17, 1939, 20
Val Ray	Spinning Wheel (Seattle)	C M. Litteljohn, "Night Club Reviews: Spinning Wheel, Seattle," The Billboard 51, no. 24, June 17, 1939, 20
Milton LaMaire	Spinning Wheel (Seattle)	C M. Litteljohn, "Night Club Reviews: Spinning Wheel, Seattle," The Billboard 51, no. 24, June 17, 1939, 20

*Unnamed 1*	Fox's Savoy (Brooklyn)	Last Half Reviews: Fox's Savoy, Brooklyn Sugarman, Elias E. The Billboard 40, no. 14, April 7, 1928, 17
*Unnamed 2*	The Palace (New York)	New Acts: Bob and Gale Sherwood E E S. The Billboard 40, no. 48, December 1, 1928, 16
*Unnamed 3*	Willis Theatre (Bronx)	Peaches Browning's Bally Protest Shrivels Receipts The Billboard 40, no. 49, December 8, 1928, 13

Huberta Beeson	Loew's National (New York)	Last-Half Reviews: Loew's National, N. Y. COTIER, FRANK. The Billboard 40, no. 49, December 8, 1928, 19.
Harri Henri	The Supreme Revue (touring East, via Sablosky office)	Vaudeville Notes The Billboard 40, no. 50, December 15, 1928, 14
Sylvan Repetti	The Supreme Revue (touring East, via Sablosky office)	Vaudeville Notes The Billboard 40, no. 50, December 15, 1928, 14
Sylvan Repetti	Herbert Crowley's Different Revue	VAUDEVILLE NOTES The Billboard 41, no. 1, January 5, 1929, 17	pending Pleasure Man trial
Ray Shannon	Ray Fox's Crotona (Bronx)	Shannon and Company S H. The Billboard 41, no. 37, Sep 14, 1929, 19	sub as female impersonator
Ray Shannon	Academy (New York)	New Acts: RAY SHANNON and CO. Char. Variety 110, no. 4, April 4, 1933, 34	"For laughs Shannon goes femme impersonator, but the talk is none too strong."
Lestra La Mont	Modes de Papier, at Loew's Bedford (Brooklyn)	Lestra La Mont E E S. The Billboard 41, no. 42, October 19, 1929, 33
Francois Densmore	Keith's Franklin (New York)	VAUDEVILLE REVIEWS FROM COAST TO COAST: Keith's Franklin, N. Y. Schoenfeld, Joe. The Billboard 42, no. 22, May 31, 1930, 103
[Francois Densmore?]	The Palace (New York)	Vaudeville Reviews: The Palace, New York Sugarman, Elias E. The Billboard 42, no. 22, May 31, 1930, 16
*Unnamed 4* (part of Winslow Four)	Keith's Franklin (New York)	VAUDEVILLE REVIEWS FROM COAST TO COAST: Keith's Franklin, N. Y. Schoenfeld, Joe. The Billboard 42, no. 22, May 31, 1930, 103
Karl Norman	The Palace (New York)	Vaudeville Reviews: The Palace, New York Sugarman, Elias E. The Billboard 42, no. 25, June 21, 1930, 16.	originally scheduled to appear but was "pulled out yesterday"
Francis Renault	RKO (Radio-Keith-Orpheum)	Vaudeville Exploitation The Billboard 42, no. 27, July 5, 1930, 12.
Francis Renault	Warfield, Frisco (SF)	Film House Reviews: WARFIELD. FRISCO Variety 106, no. 10, May 17, 1932, 29.	dropped out after two performances
Clarke's *?*	B.B.B.'s (Hollywood)	HOLLYWOOD ADDS 2 NEW NIGHTERY SPOTS Variety 108, no. 3, September 27, 1932, 58.
Jean Malin	Jean Malin's (Hollywood)	HOLLYWOOD ADDS 2 NEW NIGHTERY SPOTS Variety 108, no. 3, September 27, 1932, 58.
Francis Renault	B.B.B.'s	HOLLYWOOD ADDS 2 NEW NIGHTERY SPOTS Variety 108, no. 3, September 27, 1932, 58.
Karyl Norman	La Boheme (Hollywood)	HOLLYWOOD ADDS 2 NEW NIGHTERY SPOTS Variety 108, no. 3, September 27, 1932, 58.
Ray Bourbon	Back Yard Club (Hollywood)	HOLLYWOOD ADDS 2 NEW NIGHTERY SPOTS Variety 108, no. 3, September 27, 1932, 58.
*Unnamed 5*	B.B.B.'s (Hollywood)	MUSIC-RADIO: Night Spots Open Season The Billboard 44, no. 42, October 15, 1932, 16.
Francis Renault	Clarke's (Hollywood)	MUSIC-RADIO: Night Spots Open Season The Billboard 44, no. 42, October 15, 1932, 16.
Ray Bourbon	Back Yard Club (Hollywood)	MUSIC-RADIO: Night Spots Open Season The Billboard 44, no. 42, October 15, 1932, 16.
Jean Malin	Club New Yorker, Christie Hotel (Hollywood)	MUSIC-RADIO: Night Spots Open Season The Billboard 44, no. 42, October 15, 1932, 16.
Karyl Norman	La Boheme Club (Hollywood)	MUSIC-RADIO: Night Spots Open Season The Billboard 44, no. 42, October 15, 1932, 16.
Jean Malin	Club New Yorker, Christie Hotel (Hollywood)	Night Clubs The Billboard 45, no. 22, June 3, 1933, 15.	Club folded for the summer
La Belle Rose	Jefferson (V-P??)	New Acts: Village Grove NUT CLUB, With BUDDY WALKER (21) Mark. Variety 97, no. 4, November 6, 1929, 48.	called Scotch female impersonator -- is this the person who Rae Bourbon used to be in a vaudeville team with under the name Scotch and Bourbon? (see Literati: Femme Impersonator's 'Hookers' Variety 107, no. 11, August 23, 1932, 40.)
Olin Landick	Orpheum (Los Angeles)	Los Angeles: Orpheum Variety 93, no. 11, December 26, 1928, 54.	spelled "Olyn Landick"; "would be better if he cut out the salacious material"
Olin Landick	*Unnamed all-girl revue*	Vaudeville: Another All-Girl Revue The Billboard 46, no. 3, January 20, 1934, 6.	spelled "Olyn Lyndick"
Olin Landick	Hipp (Baltimore)	"Variety House Review: HIPP, BALTIMORE" Bert. Variety 125, no. 5, January 13, 1937, 12.	femme imp monologist
Olin Landick	King's Varieties at Fox Theatre (Detroit)	Unit Reviews: KING'S VARIETIES Pete. Variety 125, no. 7, January 27, 1937, 48
Olin Landick	Loew's Orpheum (New York)	Vaudeville Reviews: Loew's Orpheum, N. Y. Williams, Bill. The Billboard 45, no. 35, September 2, 1933, 8.	spelled "Olyn Landick"
Jackie Maye	King's Terrace (New York)	NIGHT CLUB REVIEWS - King's Terrace, New York Harris. The Billboard 47, no. 3, January 19, 1935, 12
Jackie Maye	Torch Club (Cleveland)	Cleve. Niteries Seek Names to Lure Expo Biz Variety 123, no. 1, June 17, 1936, 48.
[Barbette	Kursaal, Geneva	Vaudeville Reviews: Paris Programs The Billboard 47, no. 26, June 29, 1935, 15.]
E. Russell	Grand View Park's Grand National Treasure Hunt	Vaudeville Reviews: Paris Programs The Billboard 47, no. 26, June 29, 1935, 15.
Gene Dana	Showboat (Jacksonville, FL)	Coke "NIGHT CLUB REVIEWS: Showboat, Jacksonville, Fla." The Billboard 48, no. 9, February 29, 1936, 11.	"warbled Shanghai Flo and seemed to be well liked by the customers."
Dixie Dixon	Fay Norman (tour)	Club Chatter The Billboard 48, no. 17, April 25, 1936, 12
Dixie Dixon	Jungle Inn (Youngstown, OH)	Club Chatter The Billboard 48, no. 17, April 25, 1936, 12
Jack Mason (emsee)	Club Richman (New York)	"Club Richman Charged With Objectionable Show" The Billboard 48, no. 19, May 9, 1936, 11.
Satch and Satchell	Club Richman (New York)	"Club Richman Charged With Objectionable Show" The Billboard 48, no. 19, May 9, 1936, 11.
Gene Dana	Fay Norman's Playboy revue (tour)	Club Chatter The Billboard 48, no. 28, July 18, 1936, 19, 27.
Gene Dana	Lotus Gardens (Cleveland, OH)	Club Chatter The Billboard 48, no. 28, July 18, 1936, 19, 27.
Dixie Dixon	Jungle Inn (Youngstown, OH)	Club Chatter The Billboard 48, no. 31, Aug 1, 1936, 19.
Fay Norman's Gay Boy Revue	Dwan Hotel (Benton Harbor, MI)	Club Chatter The Billboard 48, no. 31, August 1, 1936, 19
Bobbie La Rue	Jungle Inn (Youngstown, OH)	Club Chatter The Billboard 48, no. 35, August 29, 1936, 15
