,year,firstname,lastname,alt_name,company,comment,sources,play_performance,keyword
0,1854,Thomas L.,Floyd,Thomas Floyd; Thomas L. Flloyd; Thomas L. Floydd; Thomas Flloyd; Thomas Floydd; Tomas Floyd; Tomas L. Floyd,Kunkel's Nightingale Minstrels,"(The celebrated female impersonator of Kunkel’s Nightingale Opera Troupe. Eventually co-manager with George Kunkel of Marshall Theatre, Richmond, VA. Born 1828 = 26 years old here..

George Kunkel was famous ""Ethiopian minstrel"" - from 1845 the head of the Nightingale Troupe (after George W. Harvey) - immense reputation in a few years - enabling Kunkel with Mr Ford to ""embark extensively in theatrical enterprises"" - Washington (D.C.) Theatre was his second acquisition - Moxley was manager here, ""known as Master Floyd or 'Miss Fanny'."" - ""Mr. Geo. Kunkel's Engagement Abroad, A Representative Minstrel's Eventful Career,"" The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]18 July 1882: 4.

Kunkel's Opera Troupe was ""one of many enterprises that stamped their names on Spanish coins. One such coin, a 2-real piece of 1823, is in this collection."" - The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]15 May 1949: MG5.","The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]25 Nov 1854: 2.

Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]08 July 1890: 1.

The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]08 July 1890: 1. ",,
1,1866,Joseph,Maies,Joseph Mayes; Joseph Mays; Joseph Mais; Joe Maies; Joe Mays; Joe Mayes; Joe Mairs; Joseph Mairs,Excelsior Minstrels and Burlesque Opera Troupe,,"The Louisville Daily Journal (1839-1868); Louisville, Ky. [Louisville, Ky]22 May 1866: 2.

The Louisville Daily Journal (1839-1868); Louisville, Ky. [Louisville, Ky]25 May 1866: 2.

The Louisville Daily Journal (1839-1868); Louisville, Ky. [Louisville, Ky]26 May 1866: 2.",,
2,1866,Thomas L.,Floyd,,Kunkel Opera Troupe,"Kunkel Opera Troupe was a ""Well-established enterprise run by George Kunkel, Thomas L. Moxley and John T. Ford, of Ford's Theatre in Washington."" - Rick G. Mundy, ""Theatrical Pariah: John Wilkes Booth and literature of the theatre"" (diss.), 22, n. 12

""The presence of Thomas L. Moxley in the partnership is difficult to explain. He did little actual management, functioning on a few isolated occasions as ""acting manager"" only. A possible explanation of his association with Kunkel and Ford is that he may have won the gratitude of the two for contributing to the success of the Nightingales as a popular featured performer, and it may be that he had earned enough as a minstrel to become a silent partner. In 1871, eleven years after the partnership had dissolved, Ford employed him to handle the wardrobe of Ford's new Grand Opera House, and in 1873 he was bartender of the Holliday Street Theatre bar. Both of these lowly appointments were probably partly effected through the influence of his brother, Basil Moxley, for many years Ford's faithful doorman."" - John Ford Sollers, ""The Theatrical Career of John T. Ford"" (diss.), 47, n. 17","The Louisville Daily Journal (1839-1868); Louisville, Ky. [Louisville, Ky]04 Dec 1866: 3.",,
3,1868,Joe,Maies,[? spelled Mairs in article],"Skiff & Gaylord’s Minstrels, Chicago",,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]27 Apr 1868: 2.",,
4,1869,R.,Saphrini,R. Safrini; R. Saffrini; R. Saffrinni; R. Safrinni,,"as the Dashing Belle, Girl of the Period, Pet of the Ballet","The Scotsman (1860-1920); Edinburgh, Scotland [Edinburgh, Scotland]18 Aug 1869: 4. 

The Scotsman (1860-1920); Edinburgh, Scotland [Edinburgh, Scotland]19 Aug 1869: 1. 

The Scotsman (1860-1920); Edinburgh, Scotland [Edinburgh, Scotland]20 Aug 1869: 1. 

The Scotsman (1860-1920); Edinburgh, Scotland [Edinburgh, Scotland]21 Aug 1869: 4. 

The Scotsman (1860-1920); Edinburgh, Scotland [Edinburgh, Scotland]24 Aug 1869: 1.

The Scotsman (1860-1920); Edinburgh, Scotland [Edinburgh, Scotland]26 Aug 1869: 1.",,
5,1869,Fred,Abbott,Fred Abott; Fred Abbot; Frederick Abbott; Frederick Abott; Frederick Abbot; Fredrick Abbott; Fredrick Abott; Fredrick Abbot,"Smith and Taylor’s Minstrel and Burlesque Company, New York",,"The Irish Times and Daily Advertiser (1859-1874); Dublin, Ireland [Dublin, Ireland]07 Sep 1869: 1.",,
6,1870,Ernest,Linden,Ernest Linde; Ernest Liden; Ernst Linden; Ernst Liden,Kelly & Leon’s Minstrels,,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]26 Sep 1870: 7.,,
7,1871,R.,Saphrini,,,,"Ledger, Edward (ed.). The Era almanack; London (Jan 1870): 55-60.

The Observer (1791- 1900); London (UK) [London (UK)]22 Jan 1871: 4.

The Observer (1791- 1900); London (UK) [London (UK)]29 Jan 1871: 4.",,
8,1871,Clifford,Tremaine,,,first appearance in America: Burlesque artist and female impersonator,"The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]04 Apr 1871: 2.",,
9,1871,,De Melvin,,,double-voiced vocalist and female impersonator,"The Sphinx; Manchester Vol. 4, Iss. 144, (May 13, 1871): 153-154.",,
10,1871,Sam,Brooklyn,,,"female impersonator, soprano vocalist, trick violinist, and dancer","The Sphinx; Manchester Vol. 4, Iss. 154, (Jul 22, 1871): 234.",,
11,1872,Harry,Holsten,,,female impersonator and character artist,"The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]22 Feb 1872: 2.",,
12,1872,Ernest,Linden,,Duprez and Benedict’s Minstrels,,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]12 Oct 1872: 1.",,
13,1873,Emanuel,Bond,Emannuel Bond,,wondrous and life-like female impersonator as “Norah”; also in a harlequinade as Columbine,"The Irish Times and Daily Advertiser (1859-1874); Dublin, Ireland [Dublin, Ireland]15 Jan 1873: 1.",,
14,1874,,Leon,,Kelly & Leon’s Minstrels,"there is but one Leon. As an impersonator of female characters he has no equal, and in the burlesque operas is perfectly at home.","The Pittsburgh Gazette (1786-1906); Pittsburgh [Pittsburgh]28 Apr 1874: 4.

The Pittsburgh Commercial (1863-1876); Pittsburgh [Pittsburgh]29 Apr 1874: 4.",,
15,1874,R.,Saphrini,,,,"The Irish Times (1874-1920); Dublin, Ireland [Dublin, Ireland]24 July 1874: 1.",,
16,1875,Ernest,Sydenham,,,committed suicide by jumping into the Thames,"The Scotsman (1860-1920); Edinburgh, Scotland [Edinburgh, Scotland]24 Apr 1875: 8.",,
17,1875,Leo,Parini,,,"""the Great Impersonator of Female Characters""","The Scotsman (1860-1920); Edinburgh, Scotland [Edinburgh, Scotland]11 Feb 1875: 2.",,
18,1875,,Leon,,,rumored to be a woman — and St. Louis Dispatch backs up the story — PDF saved,"St. Louis Dispatch (1874-1877); St. Louis, Mo. [St. Louis, Mo]09 Sep 1875: 2.",,
19,1875,Charles,Wattell,Charles Watell; Charles Wattel; Charlie Wattell; Charlie Watell; Charlie Wattel,Phoenix Minstrels,,"The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]17 Sep 1875: 1.

The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]20 Sep 1875: 1.",,
20,1877,R.,Saphrini,,,,"The Observer (1791- 1900); London (UK) [London (UK)]25 Mar 1877: 1.

The Observer (1791- 1900); London (UK) [London (UK)]01 Apr 1877: 1.",,
21,1877,Annie,Hindle,,,*** male impersonator,"The Observer (1791- 1900); London (UK) [London (UK)]25 Mar 1877: 1.

The Observer (1791- 1900); London (UK) [London (UK)]01 Apr 1877: 1.",,
22,1877,Louis,Leoni,Louis Loni; Louis Leni,,,The Manchester Guardian (1828-1900); Manchester (UK) [Manchester (UK)]07 Apr 1877: 1.,,
23,1877,Burton,Stanley,,,,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]14 June 1877: 1.",,
24,1877,,Leon,,Kelly & Leon,"Leon is remarkable in playing Galatea, Kelly played Midas - presented in a thoroughly artistic manner and on a much higher plane than minstrel burlesques usually occupy. In the role of Galatea certainly acieved an emphatic success. Leon takes a benefit Friday evening.","Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]06 Sep 1877: 1.",Pygmalion and Galatea,
25,1877,,Josephs,,Rice and Goodwin,played Catherine in Rice and Goodwin’s extravaganza Evangeline; “probably the best burlesque female impersonator that has visited Toronto”,"The Globe (1844-1936); Toronto, Ont. [Toronto, Ont]19 Sep 1877: 1.",,
26,1877,Arthur,Doty,,,,"St. Louis Dispatch (1874-1877); St. Louis, Mo. [St. Louis, Mo]24 Dec 1877: 2.",,
27,1878,Rollin,Howard,Rolin Howard,,"""In 1878 Rollin Howard, an old-time variety female impersonator, managed the Melodion Novelty Theatre in Philadelphia.""","Gilbert, American Vaudeville, 43.",,
28,1878,Arthur,Doty,Artur Doty,,,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]03 Mar 1878: 1.",,
29,1878,Charles,Heywood,,Billy Emerson’s Minstrels,,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]11 Mar 1878: 4.

Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]13 Mar 1878: 4.

Daily American (1875-1894); Nashville, Tenn. [Nashville, Tenn]13 Mar 1878: 4.

Daily American (1875-1894); Nashville, Tenn. [Nashville, Tenn]15 Mar 1878: 4.

Daily American (1875-1894); Nashville, Tenn. [Nashville, Tenn]16 Mar 1878: 4.

The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]01 Apr 1878: 1. [not with Emerson’s?]",,
30,1878,Burton,Stanley,,,accused of stealing jewelry,"St. Louis Post and Dispatch; St. Louis, Mo. [St. Louis, Mo]10 Apr 1878: 1.",,
31,1878,Ella,Wesner,,,credited as female impersonator,"The Graphic; London Vol. 17, Iss. 440, (May 4, 1878): 431.",,
32,1878,Gus,Mills,,,receives bushel of billets-doux daily from soft-headed and soft-hearted young men who fondly believe he is a she,"St. Louis Post and Dispatch; St. Louis, Mo. [St. Louis, Mo]07 Sep 1878: 7.",,
33,1878,Geo,Eustache,George Eustache,Wagner & Cotton’s Minstrels,,The Tribune (1877-1882); Minneapolis [Minneapolis]05 Oct 1878: 4.,,
34,1878,John,St. Leon,,,,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]27 Oct 1878: 2.",,
35,1878,Charles,Heywood,,Emerson’s Great California Minstrels,direct from Europe where he has been finishing his musical education,The Tribune (1877-1882); Minneapolis [Minneapolis]26 Nov 1878: 4.,,
36,1878,Geo,Hawthorn,George Hawthorn,Grand Duke theatre company,"swell vocalist, female impersonator, stage mgr","Special Dispatch to THE POST.. The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]13 Dec 1878: 1.",,
37,1878,,Fostelle,,,popular sketch artist and impersonator of female characters; benefit by professionals at Merrill Hall for next Saturday night,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]21 Apr 1878: 1.",,
38,1879,Burt,Sheppard,,Billy Emerson?,"does not seem to be burlesquing the woman or opera singer as much as endeavoring to imitate her correctly, and so he produces a very laughable and very original characterization","Daily Democratic Statesman (1873-1880); Austin, Tex. [Austin, Tex]18 Mar 1879: 1.",,
39,1879,Willy,Lyle,,,,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]20 Mar 1879: 4.","Out of Bondage; Out of Bondage; Out of Bondage; or, From The Cotton-Field to the Opera: From Slavery to Freedom",
40,1879,Chas H.,Heywood,,,"in a novel operatic sketch, ""Mistress and Maid""","The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]24 Mar 1879: 1.",Mother Goose,
41,1879,Eugenie,Florence,,,"in a novel operatic sketch, ""Mistress and Maid""","The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]24 Mar 1879: 1.",Mother Goose,
42,1879,Burt,Shepard,,Emerson’s Minstrels,,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]17 Apr 1879: 5.",,
43,1879,,Bernardo,,Lev. J. Bryant’s Louisiana minstrels,,"Hartford Daily Courant (1840-1887); Hartford, Conn. [Hartford, Conn]25 Apr 1879: 2.",,
44,1879,Omar,Kingsley,,,Ella Zoyara. death — PDFs saved,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]19 May 1879: 1.

From the San Francisco Chronicle.. New York Times (1857-1922); New York, N.Y. [New York, N.Y]28 May 1879: 5.

Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]30 May 1879: 3.

Daily American (1875-1894); Nashville, Tenn. [Nashville, Tenn]01 June 1879: 3.",,
45,1879,Burt,Sheperd,,Hooley and Emerson’s?,pdf saved,"Chicago Daily Tribune (1872-1922); Chicago, Ill. [Chicago, Ill]24 June 1879: 5.",,
46,1879,,Roselle,,,/Frank Smith/ immense hit of the season; a well-known Cincinnati boy; female impersonator and burlesque prima donna,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]25 Nov 1879: 5.",,
47,1880s?,Will D.,Saphar,,,"Played first ""a heavy German woman of peasant type—red face, large white cap, fancy shawl, high stomach, large apron, full skirts, woolen stockings, wooden shoes,"" singing a parody of Walking Down Broadway.  Then, a ""quick change to male attire of the newly arrived German immigrant type."" (Gilbert, 75)","Gilbert, 75",,
